농월정,고도(농월정),농월정_1,깊이(농월정),농월정_2,경사도(농월정),옥계리,고도(옥계리),옥계리_1,깊이(옥계리),옥계리_2,경사도(옥계리),용추,고도(용추),용추_1,깊이(용추),용추_2,경사도(용추),신선계곡,고도(신선계곡),신선계곡_1,깊이(신선계곡),신선계곡_2,경사도(신선계곡),하옥계곡,고도(하옥계곡),하옥계곡_1,깊이(하옥계곡),하옥계곡_2,경사도(하옥계곡),요강소,고도(요강소),요강소_1,깊이(요강소),요강소_2,경사도(요강소),용소폭포,고도(용소폭포),용소폭포_1,깊이(용소폭포),용소폭포_2,경사도(용소폭포)
,,1636.242961,329.6111145,1636.242961,0,1705.772833,151.7099457,1355.428973,184.4664001,1355.428973,0,,,1552.965541,142.2702942,1552.965541,11.34809971,,,,,,,,,,,,,,,,,,,,,1722.87273,320.6882935,1722.87273,6.918200016
,,1683.138556,339.185791,1683.138556,0,1735.907756,151.7099457,1406.632518,182.0097961,1406.632518,0,,,1587.573105,123.6190033,1587.573105,14.50640011,,,,,,,,,,,,,,,,,,,,,1742.075178,320.6882935,1742.075178,6.918200016
,,1725.032155,336.9111023,1725.032155,0,1789.047435,152.154892,1441.535821,147.7245941,1441.535821,1.350200057,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.004666,374.2880859,1775.004666,3.931099892
,,1766.925754,339.0289917,1766.925754,0,1820.200632,152.154892,1497.609734,85.14409637,1497.609734,10.99919987,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.721941,412.9013977,1809.721941,3.814100027
,,,,,,1852.121028,134.5827789,1541.293364,68.23190308,1541.293364,11.30990028,,,,,,,,,,,,,,,,,,,,,,,,,,,1856.671299,433.0434875,1856.671299,0.95480001
,,,,,,1868.448303,134.5827789,1612.91442,39.31620026,1612.91442,8.735699654,,,,,,,,,,,,,,,,,,,,,,,,,,,1894.632559,407.2995911,1894.632559,0
,,,,,,1896.573564,134.5827789,1659.343627,29.51939964,1659.343627,25.37689972,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.593818,412.2650146,1932.593818,0.95480001
,,,,,,1948.026383,134.5827789,1705.772833,18.8118,1705.772833,37.40409851,,,,,,,,,,,,,,,,,,,,,,,,,,,1970.555078,361.5072021,1970.555078,0
,,,,,,1959.891762,136.7330322,1735.907756,23.4265995,1735.907756,35.45090103,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.205762,359.9892883,2006.205762,1.909199953
,,,,,,1986.418481,136.7330322,1789.047435,11.0625,1789.047435,26.36009979,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.856446,304.2265015,2041.856446,0.95480001
,,,,,,2003.390198,136.7330322,1820.200632,15.30389977,1820.200632,34.99959946,,,,,,,,,,,,,,,,,,,,,,,,,,,2077.50713,292.3739014,2077.50713,14.06620026
,,,,,,2051.274542,136.7330322,1852.121028,16.75799942,1852.121028,33.1609993,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.892946,257.4039001,2121.892946,19.45120049
,,,,,,2169.321409,167.555191,1868.448303,49.85359955,1868.448303,28.98760033,,,,,,,,,,,,,,,,,,,,,,,,,,,2166.278762,214.0252075,2166.278762,28.25729942
,,,,,,2195.712388,167.555191,1896.573564,90.98539734,1896.573564,9.462300301,,,,,,,,,,,,,,,,,,,,,,,,,,,2204.013335,190.7704926,2204.013335,22.61989975
,,,,,,2288.740584,141.3974304,1948.026383,118.0124969,1948.026383,8.530799866,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.856523,172.0666046,2240.856523,21.4720993
,,,,,,2356.493075,158.1189575,1959.891762,118.0124969,1959.891762,8.530799866,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.51727,150.957901,2285.51727,25.95540047
,,,,,,,,1986.418481,132.5386963,1986.418481,10.3888998,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.178017,170.2559967,2330.178017,5.788799763
,,,,,,,,2003.390198,132.5386963,2003.390198,10.3888998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2051.274542,170.555603,2051.274542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2090.623498,172.7640991,2090.623498,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2129.972453,183.0803986,2129.972453,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2169.321409,189.0738068,2169.321409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2195.712388,165.4692993,2195.712388,3.438899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2242.226486,187.9427948,2242.226486,0.95480001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2288.740584,185.5626984,2288.740584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2356.493075,213.9394073,2356.493075,3.931099892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
