wtrplay_plc_nm,ctprvn_nm,sgg_nm,emd_nm,detail_plcnm,adres,wtrplay_plc_type,wtrplay_sec,wtrplay_deep,wtrplay_deep_avg,year_visitor,acdt_co,x,y,manage_type,manage_at
내원사 계곡,경상남도,양산시,하북면,내원사 입구 ~ 용연리 행정안전지원센터,경상남도 양산시 하북면 용연리 산 42-1,계곡,1438.0,6,1,5,0,14370171.21,4224788.68,일반지역,2
탑골저수지(로켓),경상남도,양산시,서창동,탑골저수지 상류계곡,경상남도 양산시 용당동 158,계곡,420,6,3,1,0,14381770.37,4221091.509,일반지역,2
명곡저수지(로켓),경상남도,양산시,서창동,명곡저수지 상류계곡,경상남도 양산시 서창동 명동 산20-1,계곡,320,6,3,1,0,14382355.35,4221826.855,일반지역,2
장흥저수지,경상남도,양산시,평산동,장흥저수지 상류계곡,경상남도 양산시 평산동 1070,계곡,360,6,3,1,0,14374634.31,4215186.099,일반지역,2
벽계야영장,경상남도,의령군,궁류면,벽계야영장,경상남도 의령군 궁류면 벽계리 486-1,계곡,70,2,1,5,0,14272171.18,4221910.925,일반지역,2
별천계곡,경상남도,함안군,여항면,별천계곡,경상남도 함안군 여항면 주동리 483,계곡,10,1,1,2,0,14296873.96,4188679.083,일반지역,2
옥천계곡,경상남도,창녕군,창녕읍,옥천계곡,경상남도 창녕군 창녕읍 옥천리 1394,계곡,500,3,1,6,0,14310644.55,4232971.47,일반지역,2
오동수원지,경상남도,남해군,남해읍,오동수원지,경상남도 남해군 남해읍 아산리1417,계곡,100,2,1,1,0,14236288.45,4143039.403,일반지역,2
내심터,경상남도,산청군,금서면,내심터,경상남도 산청군 금서면 오봉리 산 6,계곡,100,2,1,7,0,14224275.44,4219241.15,일반지역,2
북소리당,경상남도,산청군,시천면,북소리당,경상남도 산청군 시천면 중산리 420-1,계곡,200,3,1,2,2,14222344.2,4202871.149,중점관리지역,1
중산2교근처,경상남도,산청군,시천면,중산2교근처,경상남도 산청군 시천면 중산리 501-4,계곡,200,2,1,6,0,14221606.46,4203653.697,일반지역,2
중산1교근처,경상남도,산청군,시천면,중산1교근처,경상남도 산청군 시천면 중산리 537-20,계곡,200,2,1,9,1,14221594.64,4203981.925,일반지역,2
예치마을,경상남도,산청군,시천면,예치마을,경상남도 산청군 시천면 내대리 215,계곡,150,2,1,8,0,14222250.3,4200057.422,일반지역,2
남대1교근처,경상남도,산청군,시천면,남대1교근처,경상남도 산청군 시천면 내대리 251-11,계곡,200,2,1,6,1,14221508.13,4200845.866,일반지역,2
애기쏘,경상남도,산청군,시천면,애기쏘,경상남도 산청군 시천면 내대리 284,계곡,50,4,3,11,0,14221063.16,4201295.803,중점관리지역,1
거림마을앞,경상남도,산청군,시천면,거림마을앞,경상남도 산청군 시천면 내대리 977-5,계곡,200,2,1,6,0,14217908.76,4202446.54,일반지역,2
용유담,경상남도,함양군,휴천면,용유담,경상남도 함양군 휴천면 문정리 1422-1,계곡,100,8,2,10,0,14216840.28,4219848.582,일반지역,2
용추계곡,경상남도,함양군,안의면,용추계곡,경상남도 함양군 안의면 상원리 963-2,계곡,2000.0,4,2,1,0,14222540.37,4257595.584,일반지역,2
농월정,경상남도,함양군,안의면,농월정,경상남도 함양군 안의면 월림리 1472,계곡,1000.0,4,2,5,4,14224273.18,4248973.926,중점관리지역,1
용소,경상남도,함양군,안의면,용소,경상남도 함양군 안의면 상원리 844-1,계곡,200,4,2,50,0,14223490.06,4256440.359,일반지역,2
심원정,경상남도,함양군,안의면,심원정,경상남도 함양군 안의면 하원리 1353,계곡,200,4,2,50,1,14225362.52,4255058.684,중점관리지역,1
부전계곡,경상남도,함양군,서상면,부전계곡,경상남도 함양군 서상면 옥산리 1001,계곡,2000.0,3,2,10,1,14210730.21,4251849.733,중점관리지역,1
용암정,경상남도,거창군,북상면,강정모리 위,경상남도 거창군 북상면 농산리 63,계곡,90,4,2,2,0,14229033.92,4268655.349,일반지역,2
사선대,경상남도,거창군,북상면,사선대 바위 아래,경상남도 거창군 북상면 월성리 산 239-2,계곡,100,3,1,2,0,14218713.45,4268595.724,일반지역,2
강선대,경상남도,거창군,북상면,강선대 민들레울,경상남도 거창군 북상면 덕유월성로 2188,계곡,90,3,2,2,0,14227225.95,4269607.824,일반지역,2
용소,경상남도,거창군,북상면,개울가민박 아래,경상남도 거창군 북상면 병곡길 137-33,계곡,30,5,3,1,0,14225933.36,4271271.145,일반지역,2
분설담,경상남도,거창군,북상면,창선교 위,경상남도 거창군 북상면 창선리 271-2,계곡,250,4,2,2,0,14223274.5,4268193.19,일반지역,2
분계천,경상남도,거창군,북상면,아모르펜션 앞,경상남도 거창군 북상면 병곡리 384-1,계곡,40,2,1,1,0,14224967.96,4272379.836,일반지역,2
월성오토캠핑장,경상남도,거창군,북상면,월성오토캠핑장 앞,경상남도 거창군 북상면 월성리 산 289,계곡,90,4,2,2,0,14222385.3,4268339.435,일반지역,2
금원산 매표소 아래,경상남도,거창군,위천면,금원산 매표소 아래(사방댐),경상남도 거창군 위천면 상천리 산7-16,계곡,50,5,3,1,0,14226929.33,4264016.254,일반지역,2
위천중 앞 솔숲,경상남도,거창군,위천면,위천중 앞 솔숲,경상남도 거창군 위천면 장기리 390,계곡,350,2,2,3,1,14230332,4267060.04,중점관리지역,1
척수대,경상남도,거창군,위천면,척수대,경상남도 거창군 위천면 황산리 산40-1,계곡,220,2,6,1,0,14230437.07,4267399.032,일반지역,2
수승대관광지,경상남도,거창군,위천면,수승대 관광지 내,경상남도 거창군 위천면 황산리 750-3,계곡,420,3,1,2,0,14230350.3,4267748.803,일반지역,2
수승대 관광지 상류,경상남도,거창군,위천면,수승대관광지 상류,경상남도 거창군 위천면 황산리 825,계곡,200,2,2,3,0,14229690.24,4268577.381,일반지역,2
수월산장(각시소하류),경상남도,거창군,마리면,수월산장 아래,경상남도 거창군 마리면 수월리 산28,계곡,150,2,1,3,0,14232651.9,4259729.275,일반지역,2
각시소,경상남도,거창군,가조면,고견사 주차장 아래,경상남도 거창군 가조면 수월리 산28-1,계곡,20,2,1,0,1,14253176.01,4263524.604,중점관리지역,1
가북계곡,경상남도,거창군,가북면,가북저수지 위,경상남도 거창군 가북면 용암리 1257-1,계곡,30,2,1,1,0,14254008.08,4274986.93,일반지역,2
황계폭포,경상남도,합천군,용주면,황계폭포,경상남도 합천군 용주면 황계리 산156,계곡,80,4,1,3,1,14256691.36,4233514.183,중점관리지역,1
용문정,경상남도,합천군,용주면,합천영상테마파크옆 용문정,경상남도 합천군 용주면 가호리 1165,계곡,40,5,3,1,1,14255876.66,4237663.515,중점관리지역,1
용주교,경상남도,합천군,용주면,용주교하부,경상남도 합천군 용주면 고품리 910-217,계곡,40,1,1,1,0,14260801.84,4237685.145,일반지역,2
돈내코계곡,제주특별자치도,서귀포시,영천동,돈내코계곡,제주특별자치도 서귀포시 상효동 1463,계곡,300,2,1,50,0,14091044.77,3935240.05,일반지역,2
집다리골자연휴양림,강원도,춘천시,사북면,별님달님펜션,강원도 춘천시 사북면 화악지암1길 124,계곡,50,2,1,1000.0,1,14202294.95,4576271.46,중점관리지역,1
단경골휴양지,강원도,강릉시,강동면,야생화정원일대,강원도 강릉시 강동면 언별리 1425,계곡,2000.0,5,1,3,1,14350897.78,4533257.62,일반지역,2
중봉계곡,강원도,삼척시,하장면,중봉마을,강원도 삼척시 하장면 중봉리 산1,계곡,4000.0,2,1,0,0,14353854.74,4496210.74,일반지역,2
내평계곡,강원도,삼척시,근덕면,내평계곡,강원도 삼척시 근덕면 동막리 693,계곡,1400.0,3,1,10,0,14386555.35,4484750.433,일반지역,2
